Rank,Title,Artist,Year
1,End of the Road,Boyz II Men,1992
2,Baby Got Back,Sir Mix-a-Lot,1992
3,Jump,Kris Kross,1992
4,Save the Best for Last,Vanessa Williams,1992
5,Baby-Baby-Baby,TLC,1992
6,Tears in Heaven,Eric Clapton,1992
7,My Lovin' (You're Never Gonna Get It),En Vogue,1992
8,Under the Bridge,Red Hot Chili Peppers,1992
9,All 4 Love,Color Me Badd,1992
10,Just Another Day,Jon Secada,1992
11,I Love Your Smile,Shanice,1992
12,To Be with You,Mr. Big,1992
13,I'm Too Sexy,Right Said Fred,1992
14,Black or White,Michael Jackson,1992
15,Achy Breaky Heart,Billy Ray Cyrus,1992
16,I'll Be There,Mariah Carey,1992
17,November Rain,Guns N' Roses,1992
18,Life Is a Highway,Tom Cochrane,1992
19,Remember the Time,Michael Jackson,1992
20,Finally,CeCe Peniston,1992
21,This Used to Be My Playground,Madonna,1992
22,Sometimes Love Just Ain't Enough,Patty Smyth and Don Henley,1992
23,Can't Let Go,Mariah Carey,1992
24,Jump Around,House of Pain,1992
25,Diamonds and Pearls,Prince and The New Power Generation,1992
26,Don't Let the Sun Go Down on Me,George Michael and Elton John,1992
27,Masterpiece,Atlantic Starr,1992
28,If You Asked Me To,Celine Dion,1992
29,Giving Him Something He Can Feel,En Vogue,1992
30,Live and Learn,Joe Public,1992
31,Come and Talk to Me,Jodeci,1992
32,Smells Like Teen Spirit,Nirvana,1992
33,Humpin' Around,Bobby Brown,1992
34,Damn I Wish I Was Your Lover,Sophie B. Hawkins,1992
35,Tell Me What You Want Me to Do,Tevin Campbell,1992
36,Ain't 2 Proud 2 Beg,TLC,1992
37,It's So Hard to Say Goodbye to Yesterday,Boyz II Men,1992
38,Move This,Technotronic featuring Ya Kid K,1992
39,Bohemian Rhapsody,Queen,1992
40,Tennessee,Arrested Development,1992
41,The Best Things in Life Are Free,Luther Vandross and Janet Jackson,1992
42,Make It Happen,Mariah Carey,1992
43,The One,Elton John,1992
44,Set Adrift on Memory Bliss,P.M. Dawn,1992
45,Stay,Shakespears Sister,1992
46,2 Legit 2 Quit,Hammer,1992
47,Please Don't Go,KWS,1992
48,Breakin' My Heart (Pretty Brown Eyes),Mint Condition,1992
49,Wishing on a Star,The Cover Girls,1992
50,She's Playing Hard to Get,Hi-Five,1992
51,I'd Die Without You,P.M. Dawn,1992
52,Good for Me,Amy Grant,1992
53,All I Want,Toad the Wet Sprocket,1992
54,When a Man Loves a Woman,Michael Bolton,1992
55,I Can't Dance,Genesis,1992
56,Hazard,Richard Marx,1992
57,Mysterious Ways,U2,1992
58,Too Funky,George Michael,1992
59,How Do You Talk to an Angel,The Heights,1992
60,One,U2,1992
61,Keep on Walkin',CeCe Peniston,1992
62,Hold on My Heart,Genesis,1992
63,The Way I Feel About You,Karyn White,1992
64,Beauty and the Beast,Celine Dion and Peabo Bryson,1992
